position,token,surprisal_bits,category
0,R,nan,boilerplate
1,etro,18.589170455932617,clinical_entity
2,ph,8.048421859741211,boilerplate
3,ary,2.9236753107397817e-05,boilerplate
4,nge,0.0002189173101214692,boilerplate
5,al,8.168944623321295e-05,boilerplate
6, Ha,21.36285972595215,boilerplate
7,emat,3.22890305519104,clinical_entity
8,oma,5.675416105077602e-06,boilerplate
9, —,12.528160095214844,boilerplate
10, An,5.0140557289123535,boilerplate
11, Un,2.0978310108184814,boilerplate
12,usual,1.4587368965148926,boilerplate
13, Ble,12.829015731811523,boilerplate
14,eding,0.00150681275408715,boilerplate
15, Site,5.354528903961182,boilerplate
16, in,0.7857391238212585,boilerplate
17, an,2.873206377029419,boilerplate
18, Ant,8.040121078491211,boilerplate
19,ico,0.00773307541385293,boilerplate
20,ag,1.0490903150639497e-05,boilerplate
21,ulated,0.034702595323324203,boilerplate
22, Patient,0.05673329159617424,boilerplate
23,:,3.820788860321045,boilerplate
24, A,0.27065420150756836,boilerplate
25, Case,0.0070363376289606094,boilerplate
26, Report,0.010163204744458199,boilerplate
27,"

",0.5037501454353333,boilerplate
28,Se,11.866052627563477,boilerplate
29,ema,19.668336868286133,boilerplate
30, Sr,9.965677261352539,boilerplate
31,iv,0.012565549463033676,boilerplate
32,ast,0.0019850332755595446,boilerplate
33,ava,0.018980151042342186,boilerplate
34, and,5.64693021774292,boilerplate
35, Tar,8.75778865814209,boilerplate
36,un,0.13987605273723602,boilerplate
37, Sol,11.677767753601074,boilerplate
38,ank,0.03483455255627632,boilerplate
39,i,0.0009287512511946261,boilerplate
40,"
",4.739163398742676,boilerplate
41,Ta,17.203447341918945,boilerplate
42,un,0.555229663848877,boilerplate
43,ton,0.0030475789681077003,boilerplate
44, and,2.552415370941162,boilerplate
45, Somerset,0.009890279732644558,boilerplate
46, Foundation,8.997310638427734,boilerplate
47, Trust,0.04064089432358742,boilerplate
48,",",0.08255254477262497,boilerplate
49, Mus,17.412593841552734,boilerplate
50,gro,0.24723957479000092,boilerplate
51,ve,5.331452484824695e-06,boilerplate
52, Park,4.402688500704244e-05,boilerplate
53, Hospital,0.0017576235113665462,boilerplate
54,",",0.023649122565984726,boilerplate
55, Ta,0.4266241192817688,boilerplate
56,un,-0.0,boilerplate
57,ton,1.2038780141665484e-06,boilerplate
58,",",0.044882673770189285,boilerplate
59, Somerset,4.52380895614624,boilerplate
60,",",0.10556359589099884,boilerplate
61, UK,0.3592711389064789,boilerplate
62,"
",2.6085479259490967,boilerplate
63,Published,8.586185455322266,boilerplate
64, ,5.247721195220947,boilerplate
65,2,0.9398847222328186,numeric
66, November,11.578595161437988,boilerplate
67, ,0.005465732887387276,boilerplate
68,2,0.0005125891766510904,numeric
69,0,1.3414583918347489e-05,numeric
70,0,6.115058898925781,numeric
71,8,2.249748945236206,numeric
72,"

",1.122484564781189,boilerplate
73,Background,5.034607887268066,boilerplate
74,"

",5.560226917266846,boilerplate
75,Or,9.669197082519531,boilerplate
76,al,0.011433896608650684,boilerplate
77, ant,0.11699827015399933,boilerplate
78,ico,6.879304237372708e-07,boilerplate
79,ag,8.599129728281696e-07,boilerplate
80,ulation,1.4758085012435913,clinical_entity
81, is,0.5855890512466431,boilerplate
82, commonly,1.6652476787567139,boilerplate
83, used,0.12460648268461227,boilerplate
84, in,0.3762936592102051,boilerplate
85, patients,0.930679202079773,boilerplate
86, with,0.10747650265693665,boilerplate
87, atr,0.46681082248687744,boilerplate
88,ial,0.00044571017497219145,boilerplate
89, fibr,0.01034011784940958,clinical_entity
90,illation,3.044060940737836e-05,clinical_entity
91, for,7.986923694610596,boilerplate
92, the,1.1902062892913818,boilerplate
93, prevention,0.03769909217953682,boilerplate
94, of,0.006305702030658722,boilerplate
95, emb,4.602919578552246,boilerplate
96,olic,0.46592405438423157,boilerplate
97, complications,4.128137111663818,boilerplate
98,.,0.16250181198120117,boilerplate
99, Ble,4.691855430603027,boilerplate
100,eding,2.35614315897692e-05,boilerplate
101, is,0.6546781063079834,boilerplate
102, the,2.754793882369995,boilerplate
103, most,0.5952330827713013,boilerplate
104, common,0.2761758267879486,boilerplate
105, complication,0.4183582365512848,boilerplate
106, of,0.5976113677024841,boilerplate
107, this,5.627302169799805,boilerplate
108, treatment,1.4635207653045654,boilerplate
109,.,0.5805767178535461,boilerplate
110, One,8.26533031463623,boilerplate
111, study,11.534890174865723,boilerplate
112, following,14.067924499511719,boilerplate
113, ,0.4907549321651459,boilerplate
114,3,2.9552924633026123,numeric
115,9,4.904069900512695,numeric
116,5,3.7471535205841064,numeric
117,8,4.351055145263672,numeric
118, patients,0.04990736022591591,boilerplate
119, on,1.2147789001464844,boilerplate
120, war,2.2666423320770264,boilerplate
121,far,5.8473983699514065e-06,boilerplate
122,in,7.051271495583933e-06,boilerplate
123, reported,2.2586779594421387,boilerplate
124, an,3.2946619987487793,boilerplate
125, incidence,0.8719834089279175,boilerplate
126, of,0.021091634407639503,boilerplate
127, bleeding,3.5703213214874268,boilerplate
128, requiring,8.247907638549805,boilerplate
129, hospital,0.7422162294387817,boilerplate
130,ization,1.4372915029525757,boilerplate
131, of,0.6627574563026428,boilerplate
132, ,0.20812717080116272,boilerplate
133,2,2.95591402053833,numeric
134,.,0.2843121290206909,boilerplate
135,6,3.0726797580718994,numeric
136, per,3.556091785430908,boilerplate
137, ,0.08613913506269455,boilerplate
138,1,4.075931428815238e-05,numeric
139,0,0.00017695929273031652,numeric
140,0,4.3510954128578305e-05,numeric
141, patient,0.46739667654037476,boilerplate
142, years,1.0667959451675415,boilerplate
143,.,0.2854212522506714,boilerplate
144, Although,4.2616424560546875,boilerplate
145, the,1.706325888633728,boilerplate
146, retro,6.609437465667725,clinical_entity
147,ph,1.4102507520874497e-05,boilerplate
148,ary,1.5994297427823767e-05,boilerplate
149,nge,6.879289685457479e-06,boilerplate
150,al,-0.0,boilerplate
151, space,0.04639098793268204,boilerplate
152, is,0.03555155545473099,boilerplate
153, an,3.292647123336792,boilerplate
154, uncommon,0.8292352557182312,boilerplate
155, site,0.19757698476314545,boilerplate
156, for,1.096177339553833,boilerplate
157, bleeding,2.601649045944214,boilerplate
158, complications,11.408225059509277,boilerplate
159,",",0.06451170891523361,boilerplate
160, a,4.771700859069824,boilerplate
161, ha,3.7805349826812744,boilerplate
162,emat,0.0045911590568721294,clinical_entity
163,oma,2.5797373837121995e-06,boilerplate
164, here,4.2829270362854,boilerplate
165, can,1.0136611461639404,boilerplate
166, expand,13.270559310913086,boilerplate
167, almost,15.339016914367676,boilerplate
168, unrestricted,8.297720909118652,boilerplate
169,ly,0.9605468511581421,boilerplate
170, and,1.7372936010360718,boilerplate
171, rapidly,6.200440406799316,boilerplate
172, lead,4.452625751495361,boilerplate
173, to,0.00017076866060961038,boilerplate
174, upper,6.308722019195557,boilerplate
175, air,0.0011968465987592936,boilerplate
176,way,0.000126229744637385,boilerplate
177, obstruction,0.09092973172664642,boilerplate
178,.,1.0460538864135742,boilerplate
179, We,2.788489580154419,boilerplate
180, report,1.115627408027649,boilerplate
181, the,3.3026416301727295,boilerplate
182, case,0.05945536866784096,boilerplate
183, of,0.0005896079819649458,boilerplate
184, retro,9.930997848510742,clinical_entity
185,ph,8.083161446847953e-06,boilerplate
186,ary,1.0318922250007745e-05,boilerplate
187,nge,1.633825922908727e-05,boilerplate
188,al,1.530637382529676e-05,boilerplate
189, ha,0.0024806077126413584,boilerplate
190,emat,0.012441257014870644,clinical_entity
191,oma,3.267666670581093e-06,boilerplate
192, in,0.2316855639219284,boilerplate
193, a,0.8352641463279724,boilerplate
194, patient,0.3023095428943634,boilerplate
195, on,0.23030604422092438,boilerplate
196, war,1.563507318496704,boilerplate
197,far,-0.0,boilerplate
198,in,0.008996337652206421,boilerplate
199,",",2.8028564453125,boilerplate
200, as,7.143794059753418,boilerplate
201, a,1.327868938446045,boilerplate
202, result,6.2670745849609375,boilerplate
203, of,0.0005131049547344446,boilerplate
204, a,1.4493491649627686,boilerplate
205, fall,7.242583751678467,clinical_entity
206,".

",2.1664555072784424,boilerplate
207,Case,0.035452719777822495,boilerplate
208, Presentation,3.859872341156006,clinical_entity
209,"

",0.0070043327286839485,boilerplate
210,An,4.078333854675293,boilerplate
211, ,0.12688308954238892,boilerplate
212,8,0.007949966937303543,numeric
213,5,3.8279073238372803,numeric
214, years,9.104589462280273,boilerplate
215, old,0.04382915422320366,boilerplate
216, woman,2.8883461952209473,boilerplate
217, was,4.393882751464844,boilerplate
218, brought,5.134097099304199,boilerplate
219, to,0.3988625407218933,boilerplate
220, the,0.2124623954296112,boilerplate
221, emergency,1.123219609260559,clinical_entity
222, department,0.01314561441540718,clinical_entity
223, after,1.1479010581970215,boilerplate
224, collapsing,9.965069770812988,boilerplate
225, at,2.0125925540924072,boilerplate
226, home,0.02284323237836361,boilerplate
227, with,6.610284328460693,boilerplate
228, breathing,13.433616638183594,clinical_entity
229, difficulties,1.0070252418518066,clinical_entity
230,.,0.2833442986011505,boilerplate
231, On,5.646302700042725,boilerplate
232, arrival,0.7720855474472046,boilerplate
233, she,2.5535480976104736,boilerplate
234, was,0.15206584334373474,boilerplate
235, dys,10.703103065490723,boilerplate
236,p,0.00045980833237990737,boilerplate
237,no,0.032091982662677765,boilerplate
238,e,3.5562407970428467,boilerplate
239,ic,9.287033208238427e-06,boilerplate
240, with,2.437162399291992,boilerplate
241, oxygen,6.592456817626953,clinical_entity
242, saturation,0.09591833502054214,clinical_entity
243, of,0.11879884451627731,boilerplate
244, ,0.0015099052106961608,boilerplate
245,7,4.448809623718262,numeric
246,5,2.142047643661499,numeric
247,%,0.7159739136695862,numeric
248, on,0.26916563510894775,boilerplate
249, room,0.6148247122764587,boilerplate
250, air,0.0002656887227203697,boilerplate
251, and,3.100630044937134,boilerplate
